,book_title,sent_spoil,sentence
622,"Fifty Shades Trilogy (Fifty Shades, #1-3)",0,AN ASIDE RE: Film in Development.
53912,"The Scorpion Rules (Prisoners of Peace, #1)",0,"As is Bow's habit, she doesn't shy away from showing the more unsavoury aspects of living under what amounts to a dictatorship."
131522,"Robopocalypse (Robopocalypse, #1)",0,"There was no sex in the novel, and the violence wasn't graphic (and alarmist types tend to worry less about that anyway), and many students encounter worse language that this every day."
92397,"Dirty Red (Love Me with Lies, #2)",0,Tarryn and give me my long awaited fix of Caleb and Olivia!!
200537,"Invincible (Chronicles of Nick, #2)",1,"She'd asked Bubba to come home early, too, but he'd decided that he"
299400,"Reaper's Property (Reapers MC, #1)",0,"He paid $50,000 to have Marie be his ""old lady""."
204914,The Corrections,0,"Even a crude irony in the style the postmoderns which Franzen scorns, but again it seems not so important, taped on, almost like the outward trappings of a great novel but with little within."
139308,"Unleashed (Uninvited, #2)",0,So now they're together and kissing and I don't know if Caden is meant to be this Christian Grey type character but that is definitely what it looks like to me and I was just thinking about how angry I would be if he didn't turn out to be a psycho that's out to get her.
240737,The Art of Being Normal,0,Ps: the ending was too cute
160575,"A Great and Terrible Beauty (Gemma Doyle, #1)",0,"However, in some places in this book, the writing felt very amateur."
18654,"The Name of the Wind (The Kingkiller Chronicle, #1)",0,"I loved it and tore through it like nobody's business, and will be in line when the 2nd book is released."
137220,"Dirty Billionaire (The Dirty Billionaire Trilogy, #1)",0,But it's late and I need a book to listen to and it has SEBASTIAN YORK narrating it.
297138,"The Selection (The Selection, #1)",0,But I liked it.
201939,"Hallowed (Unearthly, #2)",0,"Christian Prescott-He's sweet, but the whole ""meant to be thing"" sort of got teidious, but in the end I still loved him."
248957,"Crooked Kingdom (Six of Crows, #2)",0,Read for the challenge of:
285976,"Supernaturally (Paranormalcy, #2)",0,"Lend, I still adore!"
110139,"Nero (Made Men, #1)",0,I enjoyed all the characters and can't wait to read the rest of their stories.
44811,"Love, Hypothetically (Theta Alpha Gamma, #2)",0,Recommended.
139362,Lobsters,0,"I didn't mind, the book was fun."
149026,"Diary of a Haunting (Diary of a Haunting, #1)",0,There are flies swarming the entrance to the house and there are spiders in every corner.
192232,"Pushing the Limits (Pushing the Limits, #1)",0,Though maybe dividing it so that you're always thinking about what heartbreaking thing would happen next is not so great.
206099,Anya's Ghost,0,I wish I read this during Halloween because it was actually kind of creepy!
158719,"A Touch of Crimson (Renegade Angels, #1)",0,We're introduced to the hero and the heroine of book 2 in this book.
5589,The Tropic of Serpents (The Memoirs of Lady Trent #2),0,"Now while I enjoyed it because I could relate, this is definitely not a book I would recommend to everyone."
38360,"Sun Damage (Sunshine, #3)",0,"The series so far has been about Sophie's journey and while this book continues that, you also get to learn what Myles goes through as well, which is very important for this stage of the story."
264050,"Happy Again (This Is What Happy Looks Like, #1.5)",0,short but wonderfully written.
5975,"The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making (Fairyland, #1)",0,For grownups.
270642,"Cinder (The Lunar Chronicles, #1)",0,I absolutely love this series and I'm so excited to reread the next two books.
297943,Baby Doll,0,She lied.
209533,"Fallen Heir (The Royals, #4)",0,That ending though.
174217,"Ruin and Rising (The Grisha, #3)",0,*snooze* (Harshaw and Oncat are more interesting that these two... )
48021,"Legend (Legend, #1)",0,Introduction
71610,"Pale Kings and Princes (Tales from the Shadowhunter Academy, #6)",1,Poor Helen :( :( But I loved this although  I'm not sure which version is true anymore---I think it's the second one
161391,"The Unwritten, Vol. 1: Tommy Taylor and the Bogus Identity",0,"Sublime - very cool idea and very current, tying in nicely with the Lev Grossman books."
48143,"Valiant (New Species, #3)",0,"He'd spent a lifetime locked in a dank cell, hurting most of the time, and always so lonely."
261075,The Club Dumas,0,Lucas Corso is a book mercenary.
93743,"Deadly Crush (Deadly Trilogy, #1)",0,"She thinks she knows the pack because her former best friend, Dominic, became the pack's beta a few years ago."
248506,"Lock In (Lock In, #1)",0,He can also make a virtual existence come alive on paper.
271203,The Here and Now,0,"Like, if you know you're about to be arrested for breaking the laws your people have set up, maybe don't go home to see your mother before heading out on the run with a boy you aren't supposed to talk to."
100532,"An Offer From a Gentleman (Bridgertons, #3)",0,"I hate it to bits when, in romance novels, the male character is a friggin' asshole for half the book and it's supposed to be sexy; or when he is described as a 'rake'(ugh); or just usually when everything is supposed to be very dramatic to try to draw a response from the reader, but it's just too much."
199997,Going Bovine,0,"I gave it to some of my freinds and they said it was, and i quote,"
21310,"Saga, Vol. 1 (Saga, #1)",0,"If I decide to continue reading this series, it will be via the public library ..."
225380,"Pink Smog (Weetzie Bat, #0)",0,"Weetzie is only 13 in this book, so watching her take care of her mother when she needed taking care of herself made me want to jump into the pages and give her a hug."
257369,"Anne of Avonlea (Anne of Green Gables, #2)",0,"""Anne, you never were bad ."
173407,"Tantalize (Tantalize, #1)",0,A major problem with this book and its sequel is that it sets up these huge dramatic moments that should be emotionally painful but are just .
272950,"Ladies Man (Manwhore, #3)",0,"Side note: saying the word ""smirk"" is overused in the book would be an understatement."
229970,"Apex (Nexus, #3)",0,This third novel is a serious departure from the first two.
222589,"Dark Lover (Black Dagger Brotherhood, #1)",0,I know!
275141,"Men at Arms (Discworld, #15)",0,"As is usual with Pratchett stories, I spent the majority of my time reading this book grinning like a goon."
44044,A Matter of Time Book III (A Matter of Time #3),0,"Well, it's call rape in my country (Canada) and I'm pretty sure that's the same thing in a lot of other countries."
254845,"The Countess Conspiracy (Brothers Sinister, #3)",0,He's got a huge following and packs every presentation he gives.
203954,"Legend (Legend, #1)",0,"And while that doesn't particularly bother me as I have Prodigy sitting right next to it, ready to go, I think that would've annoyed me had I read this without the sequel queued up."
14678,The Girl on the Train,0,"Tom's current wife hates Rachel and truly believes that Tom's ex-wife is unstable and dangerous to her, Tom, and their baby daughter."
127953,"Fighting for Irish (Fighting for Love, #3)",0,An imposibility?
994,"Crown of Midnight (Throne of Glass, #2)",0,"And when it was tragic, I turned to my fiancee's sister and said, ""This book is soooo good!"""
177629,The Suicide Motor Club,0,In short -- good book.
35884,"Ignite Me (Shatter Me, #3)",0,And don't get me started on Warner's character.... He started off perfectly perfect and ruthless.
116458,"Neanderthal Seeks Human (Knitting in the City, #1)",0,"Although, that last one would probably require it's own book to resolve."
236836,The Fireman,0,Maybe?
31066,"The Scorch Trials (Maze Runner, #2)",0,"Still makes me want more, and madee me curious for the ending of the series."
66808,Carry On,0,A dragon!
182522,"I Am Not A Serial Killer (John Cleaver, #1)",0,"Overall, this book was really good and kept me intrigued."
283618,"Unspoken (The Lynburn Legacy, #1)",0,"I ended up really enjoying this one, though more for its uniqueness than really anything else."
65784,"Incarnate (Newsoul, #1)",0,Kind of confusing at the end but overall I like it.
73353,"Abandon (Abandon, #1)",0,"I read both books in one day, and it didn't help."
15846,"Dirty (Dive Bar, #1)",0,Couldn't wait for the next one in the series!
264388,"Die for Me (Revenants, #1)",0,"Her voice is compelling and I was drawn into her story, and cared about her almost immediately."
278235,"Never Have I Ever (The Lying Game, #2)",0,"There is rarely a time, however, when a supernatural thriller doesn't make my ears perk up in interest."
105849,"Blood for Blood (Wolf By Wolf, #2)",0,"She was greatly affected by her actions, and it showed through the novel."
85757,Never Let Me Go,0,"His writing has this very overcast tone, and reading it on a claustrophobic airplane made it feel even more ominous."
123743,Holding Up the Universe,0,I really just don't understand people.
160113,"The Circle (The Engelsfors Trilogy, #1)",0,I believed in the characters and was cheering for them the whole time.
6779,"Just a Geek: Unflinchingly honest tales of the search for life, love, and fulfillment beyond the Starship Enterprise",0,and he's so freaking full of himself.
161146,"Where She Went (If I Stay, #2)",0,And Forman did that.
112765,Castle Hangnail,0,A major point in the story is the unhealthy friendship Molly was in before coming to the castle and her growing recognition of it.
35149,"Every Day (Every Day, #1)",0,The narrator definitely made A real to me.
259574,I Want It That Way (2B Trilogy #1),0,Highly recommended.
238636,"The Eternity Cure (Blood of Eden, #2)",0,"Although the plot-line resolves the major issues raised in the book, and some answers are supplied for the overall story-arc, there are still a lot unexplored avenues, and the book ends in a place that will have readers begging for more."
133602,"Flawed (Flawed, #1)",0,She is (of course) the chosen one.
76297,"Cronin's Key (Cronin's Key, #1)",0,N. R. Walker should stick with contemporary storylines that don't involve any world building.
203798,"This Man (This Man, #1)",0,But that's nothing compared to the effect he is having on her.
101588,"What's Left of Me (The Hybrid Chronicles, #1)",0,"I also liked the way it's always ""we"" and ""us"" and ""our"" when narrating instead of ""me"" and ""I"" and ""mine,"" which takes some getting used to, but makes complete sense."
38446,"Stone Cold Touch (The Dark Elements, #2)",0,Jennifer Armentrout has done it again!
10410,"Ruin (The Faithful and the Fallen, #3)",0,Now I'll go crazy out of anticipation for the fourth one.
219528,"Shadowfell (Shadowfell, #1)",0,"She doesn't want to believe it, but she's logical enough to see the plausibility."
100914,"On the Island (On the Island, #1)",0,"For more of my reviews, please visit:"
124906,The Truth Commission,0,"Like Sarah Dessen's Just Listen, The Truth Commission makes me want to reevaluate."
210523,"The Girl Who Played with Fire (Millennium, #2)",0,"OK, the first half was awesome--I could read about Salander and her crazy brain all day."
119992,"Masque of the Red Death (Masque of the Red Death, #1)",0,There weren't many explanations and I was left to figure things out on my own.
262518,(Don't You) Forget About Me,0,"In the end, it made sense why she did."
206061,"Obsidian (Lux, #1)",0,If they find out what I've done...but I can't lose her.
122139,The Summer I Found You,0,And they act like 17 and 19 year olds.
289482,The Hobbit,0,But there is also another layer to this story that I think makes it such an enduring classic.
147947,"Relic (Books of Eva, #1)",0,I recieved this book from the publisher for an honest review.
188913,Carry On,0,"Look, I probably shouldn't have read this."
222626,The Courts of Chaos (The Chronicles of Amber #5),0,I absolutely loved them.
293783,"The Goddess Test (Goddess Test, #1)",0,I love it and definitely one of my top favorites.
41049,"Come to Me Quietly (Closer to You, #1)",0,But it has been six years had passed since he had seen him.
48612,Ready Player One,0,These people are confusing simply written with badly written.
266737,I Hate Everyone But You,0,"Overall this was a really fun, short read."
101679,The Bear and the Nightingale (The Winternight Trilogy #1),0,"She talks and makes offerings to the household-spirits, however paltry, like to the domovoi who helps clean the house and tends to the mending, or the vazila who sees to the horses in the stable."
45759,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",0,"In fact, there's everything right with it!"
170419,The Terracotta Bride,0,I liked this story.
104890,Fledgling,0,"Nor is she really all that young, but then again, she is."
128876,"Before Jamaica Lane (On Dublin Street, #3)",0,Woman insecure about her looks and sexuality asks lessons for friend.
103434,"Divergent (Divergent, #1)",0,Let me tell you something: It isn't.
27331,"Wonder Woman: Earth One, Vol. 1",0,"Wonder Woman, in my mind, is supposed to be empowering."
120802,P.S. I Like You,0,"But somehow, it was a smart move from the author."
27165,"Leaving Amarillo (Neon Dreams, #1)",0,I am a huge fan of Caisey Quinn's but I have to admit that I put off reading this book for quite awhile.
160581,"A Great and Terrible Beauty (Gemma Doyle, #1)",0,"The first time we're introduced to it, it is very dreamlike and the imagery was fantastic."
65088,"Wildfire (Hidden Legacy, #3)",0,"Even if Nevada and Rogan's story is somewhat finished, she has all those family members and employees that are just screaming for their own story."
64930,"Deadly Little Lessons (Touch, #5)",0,I'm starting to wonder if there's any logic injected inside that head of yours.
161468,"Blackbird (Blackbird, #1)",0,"I get the intention - to give us just enough information to see where the plot is going, and a little bit more into what was going on, but for me, it complicated things."
210606,Confess,0,Did they not care about Adam at all?
159647,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",0,This book was a brilliant example of all that's great about the genre; the world building was intricate and magical.
232536,"Magic Binds (Kate Daniels, #9)",0,Publisher: Ace
137743,"The Deal (Off-Campus, #1)",0,5 STARS
55996,The Man Who Fell to Earth,0,And this will most definitely not be the last time I read it or Tevis.
272254,Adorkable,0,And another thing I hated was how she treated her boyfriend Barney like a pet or a follower.
133236,"Trial by Fire (Raised by Wolves, #2)",0,Hopefully I have spared someone the misery I endured with this review.
222084,The Gentleman's Guide to Vice and Virtue,0,And don't even talk to me about the pirates!!!!!
219348,And the Mountains Echoed,0,Always nice to see an author doing something different though!
109478,"Beautiful Creatures (Caster Chronicles, #1)",0,"And being a caster, well a relationship for them is just out of the question."
223521,"Managed (VIP, #2)",0,But he's been hurting for so long and is used to managing it on his own.
255871,"After We Fell (After, #3)",0,"When he's talking with Lillian at the coffee shop and she tells him that she doesn't hang out with her friends much because her girlfriend doesn't like them and she doesn't want to pick a fight with her, I was like ""where does this sound familiar?""."
82566,"Torrent (River of Time, #3)",0,That Fortino's last rites wouldn't count...he even said how the Firenze Lords (aside from Greco) didn't know and how they didn't need to.
256375,Alice I Have Been,0,"While reading the book, I had to remind myself that this is a fiction, not biography, because at times it felt completely real, so that made it a harder read for me."
279030,"Transfer (The Retrieval Duet, #2)",0,~5 CRAZIES ~COULD NOT GET ENOUGH STARS~
94433,"Illuminae (The Illuminae Files, #1)",0,"Amie and Jay are such amazing authors, they made this book so enjoyable to read."
74554,Pyongyang: A Journey in North Korea,0,Like am I supposed to read this as kind of a confessional or am I also supposed to be shocked?
67908,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",0,** spoiler alert **
169488,"The Missing Ones (Detective Lottie Parker, #1)",0,"But then, the team started to find some answers, but what they unraveled was more than just the solutions to the murders, they opened ""the lid of the can of worms"" that held all the dark secrets of this small, peaceful town."
152857,Along for the Ride,0,"i mean, i just loved it!"
249864,"The Duke's Disaster (True Gentlemen, #0.5)",0,"Both go into the marriage expecting nothing more than a practical business like relationship, and with secrets they do not share."
36638,"The Opportunist (Love Me with Lies, #1)",0,You've never cheated to have it'
135865,"Touch (Denazen, #1)",0,"Also, there was a bit of a love triangle which played into things, which I didn't enjoy at all."
